003851 => 002414, shares=170772.15, amount=211262.23
002462 => 002414, shares=1528.17, amount=1794.08
003858 => 001770, shares=107068.85, amount=213056.30
003806 => 002364, shares=157423.01, amount=213056.30
005050 => 002147, shares=75833.30, amount=170564.26
002658 => 001301, shares=3557.80, amount=5714.18
001217 => 001338, shares=67444.22, amount=213056.30
004235 => 001711, shares=48718.63, amount=213056.30
003951 => 002091, shares=162328.61, amount=213056.30
004454 => 002117, shares=120404.81, amount=213056.30
001425 => 003187, shares=93647.01, amount=213056.30
005178 => 003344, shares=164242.40, amount=212168.33
002462 => 003412, shares=177073.81, amount=207884.65
002079 => 003503, shares=92914.42, amount=204876.30
004569 => 165527, shares=84276.99, amount=200832.07
002084 => 519769, shares=68756.96, amount=172435.58
001217 => 002147, shares=11035.38, amount=34860.75
005216 => 519769, shares=21462.40, amount=27986.98
004235 => 519769, shares=2888.90, amount=12633.75
003951 => 165527, shares=9313.70, amount=12224.24
003951 => 003503, shares=5642.77, amount=7406.13
001425 => 002147, shares=2867.99, amount=6524.97
003858 => 003412, shares=2598.95, amount=5171.65
004235 => 001301, shares=436.50, amount=1908.88
004235 => 002147, shares=252.98, amount=1106.32
003858 => 003344, shares=414.54, amount=824.89
003806 => 003503, shares=443.26, amount=599.91
004235 => 003503, shares=39.78, amount=173.97
004235 => 003344, shares=14.42, amount=63.08

todo
.005216 => 001510, shares=163386.74, amount=213056.30
.001523 => 003592, shares=131851.47, amount=204317.04
.002451 => 004011, shares=101062.31, amount=202225.68
.005353 => 160226, shares=88720.35, amount=200871.74
.003858 => 160226, shares=6123.20, amount=12184.56
.004235 => 004011, shares=2476.59, amount=10830.62
.004454 => 003592, shares=4756.70, amount=8416.99
.004235 => 003592, shares=73.69, amount=322.28

