,日期,单位净值,累计净值,涨跌幅
0,2023-01-13,1.5452,1.5952,0.64
1,2023-01-12,1.5353,1.5853,0.13
2,2023-01-11,1.5333,1.5833,-0.47
3,2023-01-10,1.5405,1.5905,0.38
4,2023-01-09,1.5347,1.5847,0.58
5,2023-01-06,1.5259,1.5759,0.66
6,2023-01-05,1.5159,1.5659,1.47
7,2023-01-04,1.4939,1.5439,-0.45
8,2023-01-03,1.5007,1.5507,1.65
9,2022-12-31,1.4762,1.5262,--
10,2022-12-30,1.4763,1.5263,0.12
11,2022-12-29,1.4746,1.5246,-0.01
12,2022-12-28,1.4747,1.5247,-0.67
13,2022-12-27,1.4846,1.5346,1.2
14,2022-12-26,1.467,1.517,1.8
15,2022-12-23,1.4411,1.4911,-0.54
16,2022-12-22,1.4489,1.4989,-0.9
17,2022-12-21,1.4621,1.5121,-0.77
18,2022-12-20,1.4735,1.5235,-0.85
19,2022-12-19,1.4862,1.5362,-1.36
20,2022-12-16,1.5067,1.5567,-1.22
21,2022-12-15,1.5253,1.5753,0.56
22,2022-12-14,1.5168,1.5668,-0.4
23,2022-12-13,1.5229,1.5729,-0.65
24,2022-12-12,1.5328,1.5828,-0.61
25,2022-12-09,1.5422,1.5922,0.21
26,2022-12-08,1.539,1.589,-0.2
27,2022-12-07,1.5421,1.5921,0.36
28,2022-12-06,1.5366,1.5866,0.54
29,2022-12-05,1.5284,1.5784,0.17
30,2022-12-02,1.5258,1.5758,-0.15
31,2022-12-01,1.5281,1.5781,1.25
32,2022-11-30,1.5093,1.5593,0.09
33,2022-11-29,1.508,1.558,1.28
34,2022-11-28,1.489,1.539,-0.67
35,2022-11-25,1.499,1.549,-0.67
36,2022-11-24,1.5091,1.5591,0.38
37,2022-11-23,1.5034,1.5534,0.01
38,2022-11-22,1.5033,1.5533,-1.03
39,2022-11-21,1.5189,1.5689,-0.1
40,2022-11-18,1.5204,1.5704,-0.3
41,2022-11-17,1.5249,1.5749,-0.57
42,2022-11-16,1.5337,1.5837,-0.86
43,2022-11-15,1.547,1.597,1.7
44,2022-11-14,1.5212,1.5712,-0.6
45,2022-11-11,1.5304,1.5804,1.12
46,2022-11-10,1.5135,1.5635,-1.23
47,2022-11-09,1.5323,1.5823,-0.67
48,2022-11-08,1.5426,1.5926,-0.45
49,2022-11-07,1.5495,1.5995,0.42
50,2022-11-04,1.543,1.593,3.05
51,2022-11-03,1.4974,1.5474,0.53
52,2022-11-02,1.4895,1.5395,1.34
53,2022-11-01,1.4698,1.5198,2.98
54,2022-10-31,1.4272,1.4772,-0.42
55,2022-10-28,1.4332,1.4832,-3.36
56,2022-10-27,1.4831,1.5331,-0.84
57,2022-10-26,1.4956,1.5456,1.24
58,2022-10-25,1.4773,1.5273,-0.07
59,2022-10-24,1.4783,1.5283,-1.64
60,2022-10-21,1.5029,1.5529,-0.53
61,2022-10-20,1.5109,1.5609,-0.4
62,2022-10-19,1.517,1.567,-1.13
63,2022-10-18,1.5343,1.5843,-0.03
64,2022-10-17,1.5348,1.5848,0.4
65,2022-10-14,1.5287,1.5787,2.34
66,2022-10-13,1.4937,1.5437,-0.07
67,2022-10-12,1.4947,1.5447,2.14
68,2022-10-11,1.4634,1.5134,0.42
69,2022-10-10,1.4573,1.5073,-1.76
70,2022-09-30,1.4834,1.5334,-1.42
71,2022-09-29,1.5047,1.5547,0.29
72,2022-09-28,1.5003,1.5503,-2.4
73,2022-09-27,1.5372,1.5872,1.26
74,2022-09-26,1.5181,1.5681,-0.53
75,2022-09-23,1.5262,1.5762,-1.15
76,2022-09-22,1.544,1.594,-0.26
77,2022-09-21,1.5481,1.5981,-0.13
78,2022-09-20,1.5501,1.6001,1.04
79,2022-09-19,1.5342,1.5842,-0.27
80,2022-09-16,1.5383,1.5883,-1.99
81,2022-09-15,1.5695,1.6195,-2.3
82,2022-09-14,1.6064,1.6564,-0.9
83,2022-09-13,1.621,1.671,0.07
84,2022-09-09,1.6198,1.6698,0.55
85,2022-09-08,1.611,1.661,-0.83
86,2022-09-07,1.6245,1.6745,0.36
87,2022-09-06,1.6186,1.6686,1.31
88,2022-09-05,1.5977,1.6477,-0.24
89,2022-09-02,1.6016,1.6516,0.28
90,2022-09-01,1.5972,1.6472,-0.5
91,2022-08-31,1.6052,1.6552,-1.77
